tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
30.6,,38.7,,,,,,,
31.4,22.3,37.1,,,,,,,
31.3,23.4,39.8,,,,,,,
31.0,25.0,41.0,,,,,,,
31.0,20.9,40.1,,,,,,,
32.1,21.1,41.6,,,,,,,
31.0,,37.1,,,,,,,
30.8,24.7,37.1,,,,,,,
32.1,25.0,41.5,,,,,,,
32.3,24.6,40.9,,,,,,,
31.9,25.4,41.0,,,,,,,
30.9,26.0,39.1,,,,,,,
31.2,25.0,41.4,,,,,,,
32.6,,43.2,,,,,,,
32.9,24.9,42.3,,,,,,,
32.2,25.9,39.7,,,,,,,
32.1,25.3,40.7,,,,,,,
33.4,,37.7,,,,,,,
34.1,27.9,44.6,,,,,,,
34.5,27.8,43.2,,,,,,,
36.9,27.0,45.3,,,,,,,
37.7,30.9,46.0,,,86.2,14.7,,,
35.4,23.1,43.2,,,,,,,
33.9,30.7,41.4,,,,,,,
34.2,29.0,42.8,,,,,,,
33.1,28.0,40.3,,,,,,,
33.3,25.6,41.6,,,,,,,
33.8,25.7,45.7,,,,,,,
35.2,27.6,43.9,,,,,,,
36.0,26.2,44.6,,,,,,,
36.8,27.4,46.0,,,,,,,
35.2,32.0,43.7,,,,,,,
35.5,,43.4,,,,,,,
36.4,29.3,43.5,,,,,,,
35.8,,44.8,,,,,,,
35.9,,43.3,,,,,,,
35.9,29.4,43.0,,,,,,,
38.3,29.4,46.7,,,,,,,
38.9,30.7,47.0,,,,16.0,,,
37.3,,44.3,,,,,,,
35.1,28.0,45.4,,,,,,,
34.4,25.5,45.6,,,,,,,
35.6,26.6,44.0,,,203.3,15.7,,,
34.9,26.9,44.2,,,,,,,
36.2,28.5,43.2,,,,,,,
35.3,27.7,43.8,,,,,,,
34.1,25.4,43.6,,,,,,,
34.4,24.9,45.0,,,,,,,
33.8,26.5,45.4,,,,,,,
34.3,25.6,47.4,,,,,,,
35.2,27.0,46.1,,,,,,,
34.5,27.0,44.6,,,,,,,
35.3,25.0,45.0,,,,,,,
36.1,28.2,44.2,,,,12.8,,,
36.4,30.6,44.3,,,186.5,17.2,,,
34.8,31.0,41.1,,,,,,,
35.6,32.5,42.4,,,,15.4,,,
34.6,29.9,43.4,,,,,,,
35.6,28.0,44.4,,,,,,,
34.3,27.2,43.3,,,,,,,
32.9,25.6,39.6,,,,,,,
36.1,31.0,44.3,,,,,,,
36.1,,42.6,,,,,,,
35.2,30.6,43.3,,,,,,,
33.8,31.0,40.7,,,,13.7,,,
33.2,26.9,39.6,,,,,,,
35.8,26.0,44.2,,,,,,,
36.0,33.1,43.2,,,,,,,
36.2,30.0,44.3,,,,,,,
35.1,28.0,43.3,,,,,,,
37.3,28.8,46.3,,,68.1,16.8,,,
35.3,30.0,46.0,,,,,,,
34.6,26.7,46.2,,,,,,,
34.4,26.0,45.0,,,,,,,
34.5,,46.7,,,,,,,
33.7,28.0,43.7,,,,,,,
32.9,23.4,44.2,,,,,,,
34.0,25.0,45.7,,,,,,,
32.7,,,,,,,,,
33.5,24.2,,,,,,,,
33.4,26.9,41.0,,,,,,,
33.0,,40.7,,,,,,,
34.0,29.9,38.5,,,226.9,17.0,,,
33.3,29.6,37.8,,,,,,,
32.5,29.7,37.5,,,,,,,
32.9,29.0,39.7,,,,,,,
32.3,28.0,39.0,,,,,,,
33.2,26.8,40.3,,,,,,,
33.2,27.0,42.0,,,,,,,
33.7,27.7,42.1,,,,,,,
33.3,28.7,40.7,,,,,,,
